Economy,LPI Score,Customs Score,Infrastructure Score,International Shipments Score,Logistics Competence and Quality Score,Timeliness Score,Tracking and Tracing Score,Infrastructure Rank,Customs Rank,Shipments Rank,Logistics Rank,Timeliness Rank,Tracking Rank,Overall Rank,Total Score
Malta,3.3,3.4,3.7,3.0,3.4,3.2,3.4,27.0,27.0,62.0,43.5,70.0,44.5,45.0,3.3499999999999996
Croatia,3.3,3.0,3.0,3.6,3.4,3.2,3.4,56.5,51.0,17.5,43.5,70.0,44.5,46.0,3.266666666666666
Philippines,3.3,2.8,3.2,3.1,3.3,3.9,3.3,49.0,61.5,51.5,49.0,22.5,51.0,47.0,3.266666666666666
Oman,3.3,3.0,3.2,3.4,3.2,3.1,3.9,49.0,51.0,31.5,54.5,81.0,21.0,48.0,3.3000000000000003
Romania,3.2,2.7,2.9,3.4,3.3,3.6,3.5,60.5,69.0,31.5,49.0,40.0,38.5,49.0,3.233333333333333
Slovak Republic,3.3,3.2,3.3,3.0,3.4,3.5,3.3,45.0,39.5,62.0,43.5,50.0,51.0,50.0,3.283333333333333
Vietnam,3.3,3.1,3.2,3.3,3.2,3.3,3.4,49.0,44.5,40.0,54.5,61.5,44.5,51.0,3.25
Hungary,3.2,2.7,3.1,3.4,3.1,3.6,3.4,53.0,69.0,31.5,58.5,40.0,44.5,52.0,3.216666666666667
Bulgaria,3.2,3.1,3.1,3.0,3.3,3.5,3.3,53.0,44.5,62.0,49.0,50.0,51.0,53.0,3.216666666666667
Cyprus,3.2,2.9,2.8,3.1,3.2,3.5,3.4,65.0,57.0,51.5,54.5,50.0,44.5,54.0,3.15
Brazil,3.2,2.9,3.2,2.9,3.3,3.5,3.2,49.0,57.0,71.0,49.0,50.0,57.5,55.0,3.1666666666666665
Botswana,3.1,3.0,3.1,3.0,3.4,3.3,3.0,53.0,51.0,62.0,43.5,61.5,68.0,56.0,3.1333333333333333
Panama,3.1,3.0,3.3,3.1,3.0,3.4,2.9,45.0,51.0,51.5,62.5,56.5,75.5,57.0,3.1166666666666667
North Macedonia,3.1,3.1,3.0,2.8,3.2,3.5,3.2,56.5,44.5,79.5,54.5,50.0,57.5,58.0,3.133333333333333
Kuwait,3.2,3.2,3.6,3.2,2.9,2.8,3.3,34.0,39.5,44.5,70.0,104.5,51.0,59.0,3.1666666666666665
"Egypt, Arab Rep.",3.1,2.8,3.0,3.2,2.9,3.6,2.9,56.5,61.5,44.5,70.0,40.0,75.5,60.0,3.0666666666666664
Indonesia,3.0,2.8,2.9,3.0,2.9,3.3,3.0,60.5,61.5,62.0,70.0,61.5,68.0,61.0,2.983333333333333
Uruguay,3.0,2.9,2.7,2.7,3.1,3.2,3.3,71.5,57.0,87.5,58.5,70.0,51.0,62.0,2.983333333333334
Bosnia and Herzegovina,3.0,2.7,2.6,3.1,2.9,3.2,3.2,77.5,69.0,51.5,70.0,70.0,57.5,62.0,2.9499999999999997
Chile,3.0,3.0,2.8,2.7,3.1,3.2,3.0,65.0,51.0,87.5,58.5,70.0,68.0,64.0,2.966666666666667
